Channel,Customer,Year,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,6048141,2017,12669,9656,7561,214,2674,1338
2,9336325,2017,7057,9810,9568,1762,3293,1776
2,6272942,2017,6353,8808,7684,2405,3516,7844
1,7856217,2017,13265,1196,4221,6404,507,1788
2,6179511,2017,22615,5410,7198,3915,1777,5185
2,2288780,2017,9413,8259,5126,666,1795,1451
2,4005184,2017,12126,3199,6975,480,3140,545
2,5508432,2017,7579,4956,9426,1669,3321,2566
1,7407238,2017,5963,3648,6192,425,1716,750
2,8386256,2017,6006,11093,18881,1159,7425,2098
2,4538271,2017,3366,5403,12974,4400,5977,1744
2,4422581,2017,13146,1124,4523,1420,549,497
2,9012181,2017,unrecorded,12319,11757,287,3881,2931
2,1425037,2017,21217,6208,14982,3095,6707,602
2,7456214,2017,24653,9465,12091,294,5058,2168
1,4767819,2017,10253,1114,3821,397,964,unrecorded
2,6275746,2017,1020,8816,12121,134,4508,1080
1,4562674,2017,5876,6157,2933,839,370,4478
2,5087393,2017,18601,6327,10099,2205,2767,3181
1,6956386,2017,7780,2495,9464,669,2518,501
2,7004317,2017,17546,4519,4602,1066,2259,2124
1,2925648,2017,5567,871,2010,3383,375,569
1,1392621,2017,31276,1917,4469,9408,2381,4334
2,1133724,2017,26373,36423,22019,5154,4337,unrecorded
2,8805617,2017,22647,9776,13792,2915,4482,5778
2,6771015,2017,16165,4230,7595,201,4003,57
1,3850837,2017,9898,961,2861,3151,242,833
1,4200242,2017,14276,803,3045,485,100,518
2,8199077,2017,4113,20484,25957,1158,8604,5206
1,1182105,2017,43088,2100,2609,1200,1107,823
1,1946192,2017,18815,3610,11107,1148,2134,2963
1,7345679,2017,2612,4339,3133,2088,820,985
1,5810712,2017,21632,1318,2886,266,918,405
1,3182887,2017,29729,4786,7326,6130,361,1083
1,3056505,2017,1502,1979,2262,425,483,395
2,9342657,2017,688,5491,11091,833,4239,436
1,8682493,2017,29955,4362,5428,1729,862,4626
2,2337886,2017,15168,10556,12477,1920,6506,714
2,1794795,2017,4591,15729,16709,33,6956,433
1,8944950,2017,56159,555,902,10002,212,2916
1,6672415,2017,24025,4332,4757,9510,1145,5864
1,8586849,2017,19176,3065,5956,2033,2575,2802
2,5496209,2017,10850,7555,14961,188,6899,46
2,7001655,2017,630,11095,23998,787,9529,72
2,1700941,2017,9670,7027,10471,541,4618,65
2,2356736,2017,5181,22044,21531,1740,7353,4985
2,2127753,2017,3103,14069,21955,1668,6792,1452
2,5330694,2017,44466,54259,55571,7782,24171,6465
2,5101261,2017,11519,6152,10868,584,5121,1476
2,1342597,2017,4967,21412,28921,1798,13583,1163
1,6316620,2017,6269,1095,1980,3860,609,2162
1,4994093,2017,3347,4051,6996,239,1538,301
2,5110322,2017,40721,3916,5876,532,2587,1278
2,1308938,2017,491,10473,11532,744,5611,224
1,5555768,2017,27329,1449,1947,2436,unrecorded,1333
1,3605279,2017,5264,3683,5005,1057,2024,1130
2,3594846,2017,4098,29892,26866,2616,17740,1340
2,1501054,2017,5417,9933,10487,38,7572,1282
1,5286018,2017,13779,1970,1648,596,227,436
1,5230953,2017,6137,5360,8040,129,3084,1603
2,8441670,2017,8590,3045,7854,96,4095,225
2,8771405,2017,35942,38369,59598,3254,26701,2017
2,7361237,2017,7823,6245,6544,4154,4074,964
2,7326841,2017,,11601,15775,2896,7677,1295
1,3432314,2017,4760,1227,3250,3724,1247,1145
2,1652870,2017,85,20959,45828,36,24231,1423
1,2488241,2017,9,1534,7417,175,3468,27
2,3634442,2017,19913,6759,13462,1256,5141,834
1,9756801,2017,2446,7260,3993,5870,788,3095
1,6348544,2017,8352,,1293,779,656,144
1,6929232,2017,16705,2037,3202,10643,116,1365
1,8953779,2017,18291,1266,21042,5373,4173,14472
1,2601233,2017,4420,5139,2661,8872,1321,181
2,6512271,2017,19899,5332,8713,8132,764,648
2,4839653,2017,8190,6343,9794,1285,1901,1780
1,6750518,2017,20398,1137,3,4407,3,975
1,3578714,2017,717,3587,6532,7530,529,894
2,4431940,2017,12205,12697,28540,869,12034,1009
1,1199415,2017,10766,1175,2067,2096,301,167
1,5877044,2017,1640,3259,3655,868,1202,1653
1,1830491,2017,7005,829,3009,430,610,529
2,3909873,2017,219,9540,14403,283,7818,156
2,1936079,2017,10362,9232,11009,737,3537,2342
1,1619335,2017,20874,1563,1783,2320,550,772
2,5625935,2017,11867,3327,4814,1178,3837,120
2,3650257,2017,16117,46197,92780,1026,40827,2944
2,4201403,2017,22925,73498,32114,987,20070,903
1,8824918,2017,43265,5025,8117,6312,1579,14351
1,3347256,2017,7864,542,4042,9735,165,46
1,3201405,2017,24904,3836,5330,3443,454,3178
1,5292218,2017,11405,596,1638,3347,69,360
1,4354994,2017,12754,2762,2530,8693,627,1117
2,6746610,2017,9198,27472,32034,3232,18906,5130
1,2571847,2017,11314,3090,2062,35009,71,2698
2,5624956,2017,5626,12220,11323,206,5038,244
1,4758369,2017,3,2920,6252,440,223,709
2,6976058,2017,23,2616,8118,145,3874,217
1,3765940,2017,403,254,610,774,54,63
1,7258244,2017,503,112,778,895,56,132
1,3997110,2017,9658,2182,1909,5639,215,323
2,8448197,2017,11594,7779,12144,3252,8035,3029
2,8778132,2017,1420,10810,16267,1593,6766,1838
2,5820839,2017,2932,6459,7677,2561,4573,1386
1,7486118,2017,56082,3504,8906,18028,1480,2498
1,1531379,2017,14100,2132,3445,1336,1491,548
1,7378384,2017,15587,1014,3970,910,139,1378
2,2564984,2017,1454,6337,10704,133,6830,1831
2,2641131,2017,8797,10646,14886,2471,8969,1438
2,1307477,2017,1531,8397,6981,247,2505,1236
2,3759137,2017,1406,16729,28986,673,836,3
1,9072615,2017,11818,1648,1694,2276,169,1647
2,2561941,2017,12579,11114,17569,805,6457,1519
1,5010707,2017,19046,2770,2469,8853,483,2708
1,3796462,2017,14438,2295,1733,3220,585,1561
1,4337961,2017,18044,1080,2000,2555,118,1266
1,8409907,2017,11134,793,2988,2715,,610
1,7545599,2017,11173,2521,3355,1517,310,222
1,9860355,2017,6990,3880,5380,1647,319,1160
1,1424110,2017,20049,1891,2362,unrecorded,411,933
1,4137807,2017,8258,2344,2147,3896,266,635
1,4872761,2017,17160,1200,3412,2417,174,1136
1,3346967,2017,4020,3234,1498,2395,264,255
1,6420566,2017,12212,201,245,1991,25,860
2,8940134,2017,11170,10769,8814,2194,1976,143
1,9052891,2017,36050,1642,2961,4787,500,1621
1,9732315,2017,76237,3473,7102,16538,778,918
1,3791704,2017,19219,1840,1658,8195,349,483
2,8113131,2017,21465,7243,10685,880,2386,2749
1,7463393,2017,140,8847,3823,142,1062,3
1,5851506,2017,42312,926,1510,1718,410,1819
1,6068875,2017,7149,2428,699,,395,911
1,8612818,2017,2101,589,314,346,70,310
1,2148153,2017,14903,2032,2479,576,955,328
1,4289818,2017,9434,unrecorded,1235,436,256,396
1,8868401,2017,7388,1882,2174,720,47,537
1,1475976,2017,6300,1289,2591,1170,199,326
1,7873899,2017,4625,8579,7030,4575,2447,1542
1,1898724,2017,3087,8080,8282,661,721,36
1,7747261,2017,13537,4257,5034,155,249,3271
1,1645839,2017,5387,4979,3343,825,637,929
1,4801598,2017,17623,4280,7305,2279,960,2616
1,8521097,2017,30379,13252,5189,321,51,1450
1,3659948,2017,37036,7152,8253,2995,20,3
1,3287590,2017,10405,1596,1096,8425,399,318
1,4849777,2017,18827,3677,1988,118,516,201
2,6914374,2017,22039,8384,34792,42,12591,4430
1,2087315,2017,7769,1936,2177,926,73,520
1,4277761,2017,9203,3373,2707,1286,1082,526
1,4272833,2017,5924,584,542,4052,283,434
1,8931641,2017,31812,1433,1651,800,113,1440
1,6159952,2017,16225,1825,1765,853,170,1067
1,8317232,2017,1289,3328,2022,531,255,1774
1,9812442,2017,18840,1371,3135,,352,184
1,6258403,2017,3463,9250,2368,779,,1627
1,5183676,2017,622,55,137,75,7,8
2,4827619,2017,1989,10690,19460,233,11577,2153
2,4226386,2017,3830,5291,14855,317,6694,3182
1,6407397,2017,17773,1366,2474,3378,811,418
2,2448724,2017,2861,6570,9618,930,4004,1682
2,8778659,2017,355,unrecorded,14682,398,8077,303
2,1278622,2017,1725,3651,12822,824,4424,
1,2911559,2017,12434,540,283,1092,3,2233
1,5622610,2017,15177,2024,3810,2665,232,610
2,3748743,2017,5531,15726,26870,2367,13726,446
2,3720589,2017,5224,7603,8584,2540,3674,238
2,3837631,2017,15615,12653,19858,4425,7108,2379
2,1611664,2017,4822,6721,9170,993,4973,3637
1,5175240,2017,2926,3195,3268,405,1680,693
1,9295488,2017,5809,735,803,1393,79,429
1,5980684,2017,5414,717,2155,2399,69,750
2,6639173,2017,260,8675,13430,1116,7015,323
2,6905779,2017,200,25862,19816,651,8773,6250
1,9354577,2017,955,5479,6536,333,2840,707
2,4504382,2017,514,7677,19805,937,9836,716
1,1428595,2017,286,1208,5241,2515,153,1442
2,8371730,2017,2343,7845,11874,52,4196,1697
1,1176235,2017,45640,6958,6536,7368,1532,230
1,4918521,2017,12759,7330,4533,1752,20,2631
1,6354342,2017,11002,7075,4945,1152,120,395
1,6415180,2017,3157,4888,2500,unrecorded,273,2165
1,6302529,2017,12356,6036,8887,402,1382,2794
1,9467696,2017,112151,29627,18148,16745,4948,8550
1,6674317,2017,694,8533,10518,443,6907,156
1,1677447,2017,36847,43950,20170,36534,239,47943
1,6487512,2017,327,918,4710,74,334,11
1,3242767,2017,8170,6448,1139,2181,58,247
1,1265720,2017,3009,521,854,3470,949,727
1,3389464,2017,2438,8002,9819,6269,3459,3
2,2853238,2017,8040,7639,11687,2758,6839,404
2,4398009,2017,834,11577,11522,275,4027,1856
1,4092878,2017,16936,6250,1981,7332,118,64
1,2836664,2017,13624,295,1381,890,43,84
1,5906750,2017,5509,1461,2251,547,187,409
2,9983529,2017,180,3485,20292,959,5618,666
1,2609889,2017,7107,1012,2974,806,355,1142
1,4703268,2017,17023,5139,5230,7888,330,1755
1,7517493,2017,30624,7209,4897,18711,763,2876
2,8529305,2017,2427,7097,10391,1127,4314,1468
1,4774732,2017,11686,2154,6824,3527,592,697
1,3599855,2017,9670,,2112,520,402,347
2,8567447,2017,3067,13240,23127,3941,9959,731
2,4866133,2017,4484,14399,24708,3549,14235,1681
1,4103335,2017,25203,11487,9490,5065,284,6854
1,8121500,2017,583,685,2216,469,954,18
1,4432446,2017,1956,891,5226,1383,5,1328
2,2851084,2017,1107,11711,23596,955,9265,710
1,9110396,2017,6373,780,950,878,288,285
2,2327147,2017,2541,4737,6089,2946,5316,120
1,6954907,2017,1537,3748,5838,1859,3381,806
2,2125114,2017,5550,12729,16767,864,12420,797
1,1791125,2017,18567,1895,1393,1801,244,2100
2,1240966,2017,12119,28326,39694,4736,19410,2870
1,3903236,2017,7291,1012,2062,1291,240,1775
1,1323898,2017,3317,6602,6861,1329,3961,1215
2,9494211,2017,2362,6551,11364,913,5957,791
1,9519855,2017,2806,10765,15538,1374,5828,2388
2,7303826,2017,2532,16599,36486,179,13308,674
1,2289681,2017,18044,1475,2046,2532,130,1158
2,8954717,2017,18,7504,15205,1285,4797,6372
1,1919078,2017,4155,367,1390,2306,86,130
1,7144385,2017,14755,899,1382,1765,56,749
1,6680910,2017,5396,7503,10646,91,4167,239
1,5951829,2017,5041,1115,2856,7496,256,375
2,6175886,2017,2790,2527,5265,5612,788,1360
1,6782442,2017,7274,659,1499,784,70,659
1,5725348,2017,12680,3243,4157,660,761,786
2,2363627,2017,20782,5921,9212,1759,2568,1553
1,1196599,2017,4042,2204,1563,2286,263,689
1,2061219,2017,1869,577,572,950,4762,203
1,3489128,2017,8656,2746,2501,6845,694,980
2,3198362,2017,11072,5989,5615,8321,955,2137
1,5976004,2017,2344,10678,3828,1439,1566,490
1,4303533,2017,25962,1780,3838,638,284,834
1,6160935,2017,964,4984,3316,937,409,7
1,5044577,2017,15603,2703,3833,4260,325,2563
1,9721371,2017,1838,6380,2824,1218,1216,295
1,2467172,2017,8635,820,3047,2312,415,225
1,1143896,2017,18692,3838,593,4634,28,
1,4300799,2017,7363,475,585,1112,72,216
1,1196745,2017,47493,2567,3779,5243,828,2253
1,9580313,2017,22096,3575,7041,11422,343,2564
1,9096740,2017,24929,1801,2475,2216,412,1047
1,6297263,2017,18226,659,2914,3752,586,578
1,2013280,2017,11210,3576,5119,561,1682,2398
1,3132793,2017,6202,7775,10817,1183,3143,1970
2,8359159,2017,3062,6154,13916,230,8933,2784
1,9451656,2017,8885,2428,1777,unrecorded,430,610
1,1134744,2017,13569,346,489,2077,44,659
1,8378614,2017,15671,5279,2406,559,562,572
1,6656406,2017,8040,3795,2070,6340,918,291
1,8574825,2017,3191,1993,1799,1730,234,710
2,8466331,2017,6134,23133,33586,6746,18594,5121
1,9728954,2017,6623,1860,4740,7683,205,1693
1,9604880,2017,29526,7961,16966,432,363,1391
1,3916332,2017,10379,17972,4748,4686,1547,3265
1,9604939,2017,31614,489,1495,3242,111,615
1,4138978,2017,11092,5008,5249,453,392,373
1,2667187,2017,8475,1931,1883,5004,3593,987
1,4180398,2017,56083,4563,,6422,730,3321
1,2761399,2017,53205,4959,7336,3012,967,818
1,2726772,2017,9193,4885,2157,327,780,548
1,7276347,2017,7858,1110,1094,6818,49,287
1,1438918,2017,23257,1372,1677,982,429,655
1,3630736,2017,2153,1115,6684,4324,2894,
2,9475582,2017,1073,9679,15445,61,5980,1265
1,6197794,2017,5909,23527,13699,10155,830,3636
2,6953348,2017,572,9763,22182,2221,4882,2563
1,7918865,2017,20893,1222,2576,3975,737,3628
2,7650062,2017,11908,8053,19847,1069,6374,698
1,8935622,2017,15218,258,1138,2516,333,204
1,7168940,2017,4720,1032,975,5500,197,56
1,4333060,2017,2083,5007,1563,1120,147,1550
1,5503402,2017,514,8323,6869,529,93,1040
1,2894090,2017,36817,3045,1493,4802,210,1824
1,8563264,2017,894,1703,1841,744,759,1153
1,1998050,2017,680,1610,223,862,96,379
1,1853948,2017,27901,3749,6964,4479,603,2503
1,1187658,2017,9061,829,683,16919,621,139
1,6393768,2017,11693,2317,2543,5845,274,1409
2,4358579,2017,17360,6200,9694,1293,3620,1721
1,4722780,2017,3366,2884,2431,977,167,1104
2,4564023,2017,12238,7108,6235,1093,2328,2079
1,6807524,2017,49063,3965,4252,5970,1041,1404
1,6672627,2017,25767,3613,2013,10303,314,1384
1,3558780,2017,68951,4411,12609,8692,751,2406
1,7309127,2017,40254,640,3600,1042,436,18
1,7583639,2017,7149,2247,1242,1619,1226,128
1,7298491,2017,15354,2102,2828,8366,386,1027
1,8746108,2017,16260,594,1296,848,445,258
1,4129860,2017,42786,286,471,1388,32,22
1,6641610,2017,2708,2160,2642,502,965,1522
1,6355628,2017,6022,3354,3261,unrecorded,212,686
1,6646328,2017,2838,3086,4329,3838,825,1060
2,7970234,2017,3996,11103,12469,902,5952,741
1,1589559,2017,21273,2013,6550,909,811,1854
2,1215921,2017,7588,1897,5234,417,2208,254
1,9929136,2017,19087,1304,3643,3045,710,898
2,3065770,2017,8090,3199,6986,1455,3712,531
2,3560230,2017,6758,4560,9965,934,4538,1037
1,5547639,2017,444,879,2060,264,290,259
2,4725163,2017,16448,6243,6360,824,2662,2005
2,4389805,2017,5283,13316,20399,1809,8752,172
2,3278814,2017,2886,5302,9785,364,6236,555
2,1733326,2017,2599,3688,13829,492,10069,59
2,1524960,2017,161,7460,24773,617,11783,2410
2,5105479,2017,243,12939,8852,799,3909,211
2,5613957,2017,6468,12867,21570,1840,7558,1543
1,9859593,2017,17327,2374,2842,1149,351,925
1,3527763,2017,6987,1020,3007,416,257,656
2,7708361,2017,918,20655,13567,1465,6846,806
1,6337264,2017,7034,1492,2405,12569,299,1117
1,9020181,2017,29635,2335,8280,3046,371,117
2,7645410,2017,2137,3737,19172,1274,17120,142
1,5560281,2017,9784,925,2405,4447,183,297
1,1457238,2017,10617,1795,7647,1483,857,1233
2,2828195,2017,1479,14982,11924,662,3891,3508
1,2924029,2017,7127,1375,2201,2679,83,1059
1,7252796,2017,1182,3088,6114,978,821,1637
1,4189789,2017,11800,2713,3558,2121,706,51
2,9687891,2017,9759,25071,17645,1128,12408,1625
1,4314556,2017,1774,3696,2280,514,275,834
1,7809894,2017,9155,1897,5167,2714,228,1113
1,6268027,2017,15881,713,3315,3703,1470,229
1,1753172,2017,13360,944,11593,915,1679,573
1,3169298,2017,25977,3587,2464,2369,140,1092
1,8144044,2017,32717,16784,13626,60869,1272,5609
1,9990301,2017,4414,1610,1431,3498,387,834
1,5709989,2017,542,899,1664,414,88,522
1,5121286,2017,16933,2209,3389,7849,210,1534
1,2973122,2017,5113,1486,4583,5127,492,739
1,8490451,2017,9790,1786,5109,3570,182,1043
2,2452150,2017,11223,14881,26839,1234,9606,1102
1,3338222,2017,22321,3216,1447,2208,178,2602
2,8699128,2017,8565,4980,67298,131,38102,1215
2,1966020,2017,16823,928,2743,11559,332,3486
2,1374551,2017,27082,6817,10790,1365,4111,2139
1,9422338,2017,13970,1511,1330,650,146,778
1,2098580,2017,9351,1347,2611,8170,442,868
1,7018555,2017,3,333,7021,15601,15,550
1,7273462,2017,2617,1188,5332,9584,573,1942
2,6562574,2017,381,4025,9670,388,7271,1371
2,3634528,2017,2320,5763,11238,767,5162,2158
1,7067421,2017,255,5758,5923,349,4595,1328
2,5942465,2017,1689,6964,26316,1456,15469,37
1,2158287,2017,3043,1172,1763,2234,217,379
1,7993553,2017,1198,2602,8335,402,3843,303
2,1772517,2017,2771,6939,15541,2693,6600,1115
2,4040488,2017,27380,7184,12311,2809,4621,1022
1,4468823,2017,3428,2380,2028,1341,1184,665
2,3522265,2017,5981,14641,20521,2005,12218,445
1,4764120,2017,3521,1099,1997,1796,173,995
2,5240682,2017,1210,10044,22294,1741,12638,3137
1,9900542,2017,608,1106,1533,830,90,
2,2697931,2017,117,6264,21203,228,8682,1111
1,7285385,2017,14039,7393,2548,6386,1333,2341
1,5823355,2017,190,727,2012,245,184,127
1,4322403,2017,22686,134,218,3157,9,548
2,9838979,2017,37,1275,22272,137,6747,110
1,1715868,2017,759,18664,1660,6114,536,4100
1,8752994,2017,796,5878,2109,340,232,776
1,6636304,2017,19746,2872,2006,2601,468,503
1,2165717,2017,4734,607,864,1206,159,405
1,1140622,2017,2121,1601,2453,560,179,712
1,5878282,2017,4627,997,4438,191,1335,314
1,4607864,2017,2615,873,1524,1103,514,468
2,2726042,2017,4692,6128,8025,1619,4515,3105
1,8047823,2017,9561,2217,1664,1173,222,447
1,5437470,2017,3477,894,534,1457,252,342
1,7242862,2017,22335,1196,2406,2046,101,558
1,9716603,2017,6211,337,683,1089,41,296
2,5767393,2017,39679,3944,4955,1364,523,2235
1,6539299,2017,20105,1887,1939,8164,716,790
1,4774058,2017,3884,3801,1641,876,397,4829
2,9689898,2017,15076,6257,7398,1504,1916,3113
1,3737039,2017,6338,2256,1668,1492,311,686
1,1499729,2017,5841,1450,1162,597,476,70
2,4380407,2017,3136,8630,13586,5641,4666,1426
1,4264573,2017,38793,3154,2648,1034,96,1242
1,6544994,2017,3225,3294,1902,282,68,1114
2,7513703,2017,4048,5164,10391,130,813,179
1,3762422,2017,28257,944,2146,3881,600,270
1,5693991,2017,17770,4591,1617,9927,246,532
1,3617120,2017,34454,7435,8469,2540,1711,2893
1,4462335,2017,1821,1364,3450,4006,397,361
1,2310292,2017,10683,21858,15400,3635,282,5120
1,3774906,2017,11635,922,1614,2583,192,1068
1,6945580,2017,1206,3620,2857,1945,353,967
1,1254897,2017,20918,1916,1573,1960,231,961
1,6380850,2017,9785,848,1172,1677,200,406
1,1760360,2017,9385,1530,1422,3019,227,684
1,2841317,2017,3352,1181,1328,5502,311,1000
1,6759470,2017,2647,2761,2313,907,95,1827
1,3367927,2017,518,4180,3600,659,122,654
1,6623202,2017,23632,6730,3842,8620,385,819
1,8111028,2017,12377,865,3204,1398,149,452
1,7530643,2017,9602,1316,1263,2921,841,290
2,5474556,2017,4515,11991,9345,2644,3378,2213
1,5865609,2017,11535,1666,1428,6838,64,743
1,4644339,2017,11442,1032,582,5390,74,247
1,6530504,2017,9612,577,935,1601,469,375
1,9486121,2017,4446,906,1238,3576,153,1014
1,6863367,2017,27167,2801,2128,13223,92,1902
1,4704220,2017,26539,4753,5091,220,10,340
1,3749227,2017,25606,11006,4604,127,632,288
1,7845304,2017,18073,4613,3444,4324,914,715
1,4360424,2017,6884,1046,1167,2069,593,378
1,5576505,2017,25066,5010,5026,9806,1092,960
2,7730506,2017,7362,12844,18683,2854,7883,553
2,5609157,2017,8257,3880,6407,1646,2730,344
1,6078175,2017,8708,3634,6100,2349,2123,5137
1,2208346,2017,6633,2096,4563,1389,1860,1892
1,9828287,2017,2126,3289,3281,1535,235,4365
1,5203736,2017,97,3605,12400,98,2970,62
1,7697354,2017,4983,4859,6633,17866,912,2435
1,2272718,2017,unrecorded,1990,3417,5679,1135,290
2,6120211,2017,7842,6046,8552,1691,3540,1874
2,9615663,2017,4389,10940,10908,848,6728,993
1,8930456,2017,5065,5499,11055,364,3485,1063
2,9736732,2017,660,8494,18622,133,6740,776
1,1946543,2017,8861,3783,2223,633,1580,1521
