Channel,Customer,Year,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,6995070,2017,4456,5266,13227,25,6818,1393
2,2029371,2017,17063,4847,9053,1031,3415,1784
1,6040995,2017,26400,1377,4172,830,948,1218
2,5475715,2017,17565,3686,4657,1059,1803,668
2,8923877,2017,16980,2884,12232,874,3213,249
1,9532973,2017,11243,2408,2593,15348,108,1886
1,9082365,2017,13134,9347,14316,3141,5079,1894
1,7296514,2017,31012,16687,5429,15082,439,1163
1,5271781,2017,3047,5970,4910,2198,850,317
1,6019464,2017,8607,1750,3580,47,84,2501
1,9333047,2017,3097,4230,16483,575,241,2080
1,3913720,2017,8533,5506,5160,13486,1377,1498
1,6175147,2017,21117,1162,4754,269,1328,395
1,4643925,2017,1982,3218,1493,1541,356,1449
1,9625159,2017,16731,3922,7994,688,2371,838
1,5289598,2017,29703,12051,16027,13135,182,2204
1,8657748,2017,39228,1431,764,4510,93,2346
2,3909030,2017,14531,15488,30243,437,14841,1867
1,5259389,2017,10290,1981,2232,1038,168,2125
1,4143838,2017,2787,1698,2510,65,477,52
2,6048141,08/01/2016,10009,8690,6351,158,1845,776
2,9336325,08/01/2016,5010,,7463,1674,2140,1581
2,6272942,08/01/2016,5019,8015,6455,2189,3340,7216
1,7856217,08/01/2016,12071,837,3039,5123,284,1037
2,6179511,08/01/2016,14700,3895,4751,2466,960,4459
2,2288780,08/01/2016,5930,6525,3486,453,1508,1045
2,4005184,08/01/2016,10913,2495,6905,408,2198,382
2,5508432,08/01/2016,4396,3717,8578,1319,2557,1745
1,7407238,08/01/2016,4413,2298,4830,327,1047,443
2,8386256,08/01/2016,4925,9207,13594,858,7054,1070
2,4538271,08/01/2016,3366,5079,10379,2992,5080,1360
2,4422581,08/01/2016,11568,1068,2714,781,461,442
2,9012181,08/01/2016,19346,9978,8347,253,3182,1553
2,1425037,08/01/2016,15913,4780,11386,2074,5701,590
2,7456214,08/01/2016,13806,8519,11728,244,4653,1496
1,4767819,08/01/2016,9945,680,3401,326,897,255
2,6275746,08/01/2016,959,7229,8970,123,3111,756
1,4562674,08/01/2016,5347,3879,2288,545,237,2284
2,5087393,08/01/2016,16183,4745,8483,1874,1799,1972
1,6956386,08/01/2016,6846,2021,8518,475,1612,301
2,7004317,08/01/2016,9826,2395,3359,981,1559,1529
1,2925648,08/01/2016,4231,671,1628,2503,341,410
1,1392621,08/01/2016,30025,1744,4290,6492,1905,3944
2,1133724,08/01/2016,16879,27681,16734,3402,3600,11566
2,8805617,08/01/2016,11324,4986,11034,2332,3989,4622
2,6771015,08/01/2016,14710,2623,6532,133,3563,51
1,3850837,08/01/2016,9700,586,2117,2174,179,733
1,4200242,08/01/2016,13134,458,2132,301,56,300
2,8199077,08/01/2016,2303,12700,22323,1019,8346,4633
1,1182105,08/01/2016,42226,1092,1670,720,720,502
1,1946192,08/01/2016,15805,3466,10552,723,1238,2133
1,7345679,08/01/2016,2351,2300,1723,1503,763,877
1,5810712,08/01/2016,18387,1041,2482,237,799,393
1,3182887,08/01/2016,30324,4307,6374,5640,321,942
1,3056505,08/01/2016,1292,1860,2058,332,348,237
2,9342657,08/01/2016,385,4887,9206,508,3222,419
1,8682493,08/01/2016,23964,3490,3203,1331,534,3238
2,2337886,08/01/2016,14410,9923,11105,1459,5595,635
2,1794795,08/01/2016,4316,10381,15372,25,5913,385
1,8944950,08/01/2016,56159,322,532,6501,172,2508
1,6672415,08/01/2016,24506,3379,,7037,927,5336
1,8586849,08/01/2016,20327,2360,5420,1545,2343,2130
2,5496209,08/01/2016,7595,7177,14363,115,4622,44
2,7001655,08/01/2016,384,5658,20158,700,8481,66
2,1700941,08/01/2016,5802,5200,6597,481,3186,36
2,2356736,08/01/2016,4456,19178,15072,1131,7059,2991
2,2127753,08/01/2016,2700,12521,14710,1234,4211,886
2,5330694,08/01/2016,36017,38524,38344,5992,22962,4138
2,5101261,08/01/2016,8409,4122,10216,356,3738,886
2,1342597,08/01/2016,3825,18843,19955,1366,13176,1012
1,6316620,08/01/2016,5767,788,1287,3474,542,1946
1,4994093,08/01/2016,2912,3605,6087,201,1384,250
2,5110322,08/01/2016,27283,3289,3232,356,1630,831
2,1308938,08/01/2016,304,5865,10033,491,3647,181
1,5555768,08/01/2016,21590,942,1304,1730,153,1053
1,3605279,08/01/2016,4632,3167,3554,846,1579,746
2,3594846,08/01/2016,3196,19729,26866,1857,15611,1300
2,1501054,08/01/2016,4875,6655,6397,32,5300,936
1,5286018,08/01/2016,12126,1300,1236,352,207,279
1,5230953,08/01/2016,4787,4074,4824,99,2251,1379
2,8441670,08/01/2016,5154,2071,6048,78,3522,178
2,8771405,08/01/2016,20487,28777,37547,1985,24298,1634
2,7361237,08/01/2016,4146,4309,5301,3780,3218,848
2,7326841,08/01/2016,7611,8237,unrecorded,1882,5988,1256
1,3432314,08/01/2016,4094,773,2828,2234,773,836
2,1652870,08/01/2016,72,20330,41703,25,22535,1323
1,2488241,08/01/2016,7,920,5637,140,2428,21
2,3634442,08/01/2016,17125,5407,8077,842,3393,459
1,9756801,08/01/2016,1786,6607,3554,4520,638,2414
1,6348544,08/01/2016,8185,1918,776,530,374,112
1,6929232,08/01/2016,13531,1344,2369,5747,77,996
1,8953779,08/01/2016,19206,987,16202,3654,2504,10999
1,2601233,08/01/2016,3536,4265,2022,5944,1215,143
2,6512271,08/01/2016,16914,5119,8364,6668,665,492
2,4839653,08/01/2016,5651,5138,7248,1234,1559,1246
1,6750518,08/01/2016,19786,910,2,3922,3,907
1,3578714,08/01/2016,617,2152,4703,5422,455,733
2,4431940,08/01/2016,9886,10158,17409,574,6378,696
1,1199415,08/01/2016,10551,917,1881,1195,190,139
1,5877044,08/01/2016,1443,2868,3034,573,986,1108
1,1830491,08/01/2016,6725,647,2377,353,378,439
2,3909873,08/01/2016,123,unrecorded,9794,164,7271,89
2,1936079,08/01/2016,5906,7755,9468,641,2228,1827
1,1619335,08/01/2016,18578,1141,1426,1694,308,540
2,5625935,08/01/2016,7476,1830,4573,648,3760,92
2,3650257,08/01/2016,12732,28642,89069,667,31029,1825
2,4201403,08/01/2016,18111,61738,20553,661,15855,786
1,8824918,08/01/2016,42400,2563,7549,5618,1263,8037
1,3347256,08/01/2016,7235,282,3799,7885,117,29
1,3201405,08/01/2016,23908,2263,3784,2995,277,2161
1,5292218,08/01/2016,10607,393,983,2343,56,223
1,4354994,08/01/2016,11096,2679,1695,8345,596,1028
2,6746610,08/01/2016,7082,18132,23705,1907,17015,4001
1,2571847,08/01/2016,9391,2905,1402,25206,43,2293
2,5624956,08/01/2016,3713,11242,10417,124,3577,166
1,4758369,08/01/2016,3,2803,5127,387,205,496
2,6976058,08/01/2016,14,1779,6738,81,3254,191
1,3765940,08/01/2016,306,173,519,759,45,47
1,7258244,08/01/2016,392,73,459,698,34,114
1,3997110,08/01/2016,7437,1942,1355,3440,174,233
2,8448197,08/01/2016,8232,4590,11901,2764,7473,2181
2,8778132,08/01/2016,951,8108,15454,1099,5480,1562
2,5820839,08/01/2016,2316,5232,5374,1460,4161,970
1,7486118,08/01/2016,45987,2032,5522,16225,1080,1749
1,1531379,08/01/2016,13818,1791,2343,1055,1059,449
1,7378384,08/01/2016,15899,578,3573,792,133,1047
2,2564984,08/01/2016,960,3359,6208,96,5396,1099
2,2641131,08/01/2016,7565,7239,8485,1754,5830,1194
2,1307477,08/01/2016,1363,6466,4258,133,1578,1162
2,3759137,08/01/2016,1040,15056,18841,505,627,2
1,9072615,08/01/2016,11109,1005,1338,1821,96,1005
2,2561941,08/01/2016,12327,9447,15461,564,5101,1306
1,5010707,08/01/2016,16189,2521,2123,5666,309,1760
1,3796462,08/01/2016,14149,2295,1404,2157,474,1311
1,4337961,08/01/2016,17503,734,1900,2223,71,1177
1,8409907,08/01/2016,8685,571,2241,1412,163,451
1,7545599,08/01/2016,9721,1714,2684,1335,236,173
1,9860355,08/01/2016,5732,2522,4681,1318,211,928
1,1424110,08/01/2016,18245,1343,1441,3900,308,849
1,4137807,08/01/2016,7350,1453,1868,3273,210,464
1,4872761,08/01/2016,15101,744,3071,1354,106,738
1,3346967,08/01/2016,2814,2426,1468,1724,211,181
1,6420566,08/01/2016,11479,121,159,1473,24,507
2,8940134,08/01/2016,9941,8400,6963,1426,1798,119
1,9052891,08/01/2016,34248,1379,2013,3734,445,1313
1,9732315,08/01/2016,56415,2501,4048,11577,692,771
1,3791704,08/01/2016,16913,1270,1111,7703,258,328
2,8113131,08/01/2016,16957,6664,7586,713,1885,2584
1,7463393,08/01/2016,143,4954,3402,104,712,2
1,5851506,08/01/2016,35965,676,831,1100,373,1401
1,6068875,08/01/2016,6005,1772,433,4611,356,592
1,8612818,08/01/2016,1996,524,257,180,57,220
1,2148153,08/01/2016,14605,1524,2182,507,754,213
1,4289818,08/01/2016,8396,636,1025,249,189,269
1,8868401,08/01/2016,6428,1430,1609,634,34,360
1,1475976,08/01/2016,6237,838,1451,901,173,228
1,7873899,08/01/2016,4163,7550,4991,4072,1664,1187
1,1898724,08/01/2016,2686,6868,5632,456,598,31
1,7747261,08/01/2016,13672,2767,4279,110,174,2911
1,1645839,08/01/2016,4687,3933,2708,627,401,678
1,4801598,08/01/2016,16213,2696,5990,2119,653,2354
1,8521097,08/01/2016,26430,8879,4307,295,34,1088
1,3659948,08/01/2016,31851,4720,7098,1827,11,2
1,3287590,08/01/2016,10613,1452,943,7835,339,258
1,4849777,08/01/2016,16379,2169,1730,71,299,171
2,6914374,08/01/2016,16088,6372,28877,26,9191,3101
1,2087315,08/01/2016,7614,1065,1197,546,67,296
1,4277761,08/01/2016,8835,2496,1624,977,736,379
1,4272833,08/01/2016,5687,374,379,3161,218,369
1,8931641,08/01/2016,27995,1261,1304,664,104,907
1,6159952,08/01/2016,14603,1697,1659,580,126,726
1,8317232,08/01/2016,1276,1930,1982,473,133,1277
1,9812442,08/01/2016,17898,823,2727,2131,271,155
1,6258403,08/01/2016,2597,7493,2321,678,230,944
1,5183676,08/01/2016,616,52,105,44,6,4
2,4827619,08/01/2016,1730,6307,12260,156,10651,1356
2,4226386,08/01/2016,2987,3651,8764,225,5891,2005
1,6407397,08/01/2016,15640,1216,1831,2635,673,247
2,2448724,08/01/2016,1917,4533,5098,502,3604,1144
2,8778659,08/01/2016,259,7165,8369,259,6946,188
2,1278622,08/01/2016,1570,2994,11668,651,3141,1984
1,2911559,08/01/2016,12558,351,226,655,2,1920
1,5622610,08/01/2016,14266,1336,3467,2185,179,372
2,3748743,08/01/2016,4923,11637,24720,1373,10706,424
2,3720589,08/01/2016,4336,4410,6696,1499,2241,129
2,3837631,08/01/2016,14990,7086,18071,2567,5402,1332
2,1611664,08/01/2016,3809,6721,6419,874,2735,2073
1,5175240,08/01/2016,2633,2077,2745,259,958,603
1,9295488,08/01/2016,5054,639,578,1142,68,360
1,5980684,08/01/2016,4873,531,1595,2135,44,525
2,6639173,08/01/2016,200,5726,11013,792,5822,284
2,6905779,08/01/2016,126,15259,11295,560,7457,5313
1,9354577,08/01/2016,840,3890,5686,183,2357,523
2,4504382,08/01/2016,442,5911,13665,825,6098,644
1,1428595,08/01/2016,255,640,2935,2414,132,1154
2,8371730,08/01/2016,1289,4393,6887,45,3986,1120
1,1176235,08/01/2016,36968,4592,4052,7221,1088,147
1,4918521,08/01/2016,12631,5644,4125,1104,16,2394
1,6354342,08/01/2016,9792,4599,3808,818,85,324
1,6415180,08/01/2016,2462,4546,1525,2910,153,2035
1,6302529,08/01/2016,11491,3803,4799,277,1271,1397
1,9467696,08/01/2016,89721,19554,14155,12224,4453,6926
1,6674317,08/01/2016,680,8192,9677,385,5664,120
1,1677447,08/01/2016,36110,27689,15128,27401,220,40752
1,6487512,08/01/2016,291,835,3250,49,240,8
1,3242767,08/01/2016,7271,5868,581,1549,34,217
1,1265720,08/01/2016,3099,511,495,2290,845,451
1,3389464,08/01/2016,2219,6322,5597,4075,2698,2
2,2853238,08/01/2016,5628,5576,6895,1655,4514,319
2,4398009,08/01/2016,592,7178,8642,226,3342,1095
1,4092878,08/01/2016,13718,3750,1050,6379,70,37
1,2836664,08/01/2016,11853,204,884,552,32,78
1,5906750,08/01/2016,4077,1096,2003,377,163,290
2,9983529,08/01/2016,112,2370,12175,729,3427,440
1,2609889,08/01/2016,5686,708,2558,701,302,959
1,4703268,08/01/2016,18215,4574,2824,4417,284,1492
1,7517493,08/01/2016,28787,4253,4407,14407,580,2157
2,8529305,08/01/2016,2014,4613,9144,1071,3839,1248
1,4774732,08/01/2016,10050,1379,4094,3315,474,439
1,3599855,08/01/2016,8510,1322,1415,489,289,236
2,8567447,08/01/2016,3006,8606,17577,3626,8864,658
2,4866133,08/01/2016,2735,10079,17296,2378,12384,1278
1,4103335,08/01/2016,19406,6548,5504,4255,250,4181
1,8121500,08/01/2016,554,473,1440,460,773,16
1,4432446,08/01/2016,1506,552,3867,982,3,996
2,2851084,08/01/2016,985,9486,20764,793,7134,540
1,9110396,08/01/2016,5417,702,646,738,262,208
2,2327147,08/01/2016,1499,3316,4689,2740,4997,90
1,6954907,08/01/2016,1399,3186,3269,1636,2333,653
2,2125114,08/01/2016,5495,10438,9893,752,8942,502
1,1791125,08/01/2016,16525,1706,822,1405,154,1281
2,1240966,08/01/2016,9089,24360,23023,2747,17081,1808
1,3903236,08/01/2016,6416,830,1155,736,158,1633
1,1323898,08/01/2016,3052,3631,6381,811,3288,960
2,9494211,08/01/2016,1866,5241,7387,822,4766,688
1,9519855,08/01/2016,2301,9904,13207,1292,3788,1958
2,7303826,08/01/2016,2000,12781,28824,154,10646,526
1,2289681,08/01/2016,16781,826,1882,unrecorded,68,1042
2,8954717,08/01/2016,14,5778,9123,861,3886,3250
1,1919078,08/01/2016,3740,231,1321,1637,69,70
1,7144385,08/01/2016,14312,701,1175,1183,54,652
1,6680910,08/01/2016,5126,6903,6175,72,2792,217
1,5951829,08/01/2016,4184,937,2171,5247,197,289
2,6175886,08/01/2016,2623,2022,4370,3311,615,1183
1,6782442,08/01/2016,6110,494,1439,651,60,488
1,5725348,08/01/2016,11032,2432,3118,389,685,456
2,2363627,08/01/2016,17457,5388,7093,1636,2131,963
1,1196599,08/01/2016,3961,1344,1235,2057,176,586
1,2061219,08/01/2016,1589,456,475,618,3333,108
1,3489128,08/01/2016,7358,1977,1726,3970,507,951
2,3198362,08/01/2016,7086,3773,5166,7073,659,1368
1,5976004,08/01/2016,2414,9183,3560,1079,1394,446
1,4303533,08/01/2016,24145,1602,2380,510,173,717
1,6160935,08/01/2016,916,3389,2089,609,233,5
1,5044577,08/01/2016,13575,1973,2990,2812,276,2255
1,9721371,08/01/2016,1856,5678,2033,755,912,236
1,2467172,08/01/2016,8980,746,1615,1272,336,187
1,1143896,08/01/2016,15327,2073,362,2641,22,863
1,4300799,08/01/2016,6995,399,316,701,58,162
1,1196745,08/01/2016,40369,2259,3514,3093,472,1735
1,9580313,08/01/2016,17898,2789,4858,9937,285,2231
1,9096740,08/01/2016,21938,1333,1955,1839,363,586
1,6297263,08/01/2016,15492,613,1894,2739,533,347
1,2013280,08/01/2016,8071,2539,2918,544,1295,1751
1,3132793,08/01/2016,6016,5132,6923,745,1760,1202
2,8359159,08/01/2016,2143,5292,11550,129,6700,2116
1,9451656,08/01/2016,9152,2209,1137,1386,391,366
1,1134744,08/01/2016,12891,273,328,1350,28,600
1,8378614,08/01/2016,15044,4118,1395,531,450,406
1,6656406,08/01/2016,7960,2315,1635,3424,523,189
1,8574825,08/01/2016,2489,1395,935,1557,143,369
2,8466331,08/01/2016,5153,19200,27541,4048,15991,2817
1,9728954,08/01/2016,5365,1339,3602,5685,119,1541
1,9604880,08/01/2016,25983,6210,15948,376,280,1266
1,3916332,08/01/2016,9237,12221,3134,4124,1098,1698
1,9604939,08/01/2016,32246,425,927,2010,78,406
1,4138978,08/01/2016,9872,4507,4514,267,286,313
1,2667187,08/01/2016,6102,1796,1337,4654,2982,869
1,4180398,08/01/2016,52157,3148,1912,3339,657,1959
1,2761399,08/01/2016,48949,3124,3741,2500,493,515
1,2726772,08/01/2016,8458,3810,1229,199,562,296
1,7276347,08/01/2016,6129,821,744,5386,30,184
1,1438918,08/01/2016,19768,1194,1191,658,292,491
1,3630736,08/01/2016,1852,624,4746,2854,2778,304
2,9475582,08/01/2016,1009,6775,9267,52,4246,835
1,6197794,08/01/2016,5850,18116,10822,7819,672,2472
2,6953348,08/01/2016,343,7127,12644,1866,3027,2230
1,7918865,08/01/2016,17759,880,2241,3578,619,3374
2,7650062,08/01/2016,7978,4832,11313,673,4972,579
1,8935622,08/01/2016,13392,196,751,2088,310,114
1,7168940,08/01/2016,4201,846,605,5115,152,33
1,4333060,08/01/2016,1771,4356,985,806,118,1008
1,5503402,08/01/2016,457,7158,4946,434,72,645
1,2894090,08/01/2016,33872,2040,1045,,147,1477
1,8563264,08/01/2016,697,1413,1510,670,448,761
1,1998050,08/01/2016,551,1143,154,690,58,322
1,1853948,08/01/2016,25111,2849,5153,4165,410,1652
1,1187658,08/01/2016,8246,439,403,13197,559,103
1,6393768,08/01/2016,11459,1668,1780,3507,236,902
2,4358579,08/01/2016,13714,5890,8822,944,3005,1601
1,4722780,08/01/2016,2861,1500,1434,860,140,839
2,4564023,08/01/2016,11259,4905,4240,984,1932,1746
1,6807524,08/01/2016,45138,2538,2594,5552,593,856
1,6672627,08/01/2016,19841,2637,1308,7315,182,1052
1,3558780,08/01/2016,59298,2735,10087,7910,623,1877
1,7309127,08/01/2016,34618,570,2772,656,388,14
1,7583639,08/01/2016,6363,1438,696,971,956,101
1,7298491,08/01/2016,13665,2060,2121,6358,347,668
1,8746108,08/01/2016,17561,416,1140,738,320,168
1,4129860,08/01/2016,31662,252,377,888,25,14
1,6641610,08/01/2016,2708,1879,1744,407,714,883
1,6355628,08/01/2016,5058,2583,2217,1680,144,617
1,6646328,08/01/2016,2100,2747,3420,2188,594,912
2,7970234,08/01/2016,3077,6662,10100,794,4166,400
1,1589559,08/01/2016,18933,1691,3865,600,422,1168
2,1215921,08/01/2016,7360,1290,4187,346,1987,226
1,9929136,08/01/2016,17560,978,2514,2710,454,620
2,3065770,08/01/2016,6553,2751,4890,1193,3044,393
2,3560230,08/01/2016,3852,3010,8869,925,4084,622
1,5547639,08/01/2016,346,545,1730,150,223,220
2,4725163,08/01/2016,9869,3371,4070,684,2422,1604
2,4389805,08/01/2016,4068,9854,14075,1447,5339,107
2,3278814,08/01/2016,1905,3658,6850,324,5114,466
2,1733326,08/01/2016,1585,2139,7883,310,7854,37
2,1524960,08/01/2016,97,4401,17093,524,11312,2265
2,5105479,08/01/2016,204,7893,4780,447,2932,118
2,5613957,08/01/2016,5498,10937,15746,1086,5291,1173
1,9859593,08/01/2016,13515,1828,1989,1034,291,629
1,3527763,08/01/2016,6568,918,1924,245,226,525
2,7708361,08/01/2016,670,15491,12617,982,4655,564
1,6337264,08/01/2016,5768,1388,2165,12066,209,983
1,9020181,08/01/2016,21337,1845,7369,2620,349,96
2,7645410,08/01/2016,1239,3289,17447,905,10957,104
1,5560281,08/01/2016,9686,703,1467,4091,141,232
1,1457238,08/01/2016,11042,1490,5276,1127,617,912
2,2828195,08/01/2016,1168,9289,11209,602,3346,2982
1,2924029,08/01/2016,7198,1128,2091,1581,56,921
1,7252796,08/01/2016,875,2625,5197,792,501,949
1,4189789,08/01/2016,10502,1492,3345,1548,402,40
2,9687891,08/01/2016,7612,16045,15528,654,9430,1219
1,4314556,08/01/2016,1579,3105,1687,308,162,509
1,7809894,08/01/2016,8056,1404,3979,2117,182,1002
2,7033556,08/01/2016,5096,1418,5200,697,429,666
2,7180451,08/01/2016,873,5993,7512,331,3035,2175
2,5451702,08/01/2016,5987,839,924,2277,39,593
2,3252710,08/01/2016,981,2192,2751,655,369,1293
1,3721524,08/01/2016,6490,1546,1530,891,438,25
1,6020960,08/01/2016,3904,13037,13410,519,7941,1251
2,4946751,08/01/2016,834,2292,1619,206,171,442
2,2939155,08/01/2016,,664,2170,1384,125,712
1,1136442,08/01/2016,10323,563,,2814,956,101
1,7598067,08/01/2016,7081,406,7883,375,1427,372
2,1241112,08/01/2016,21301,1758,1774,2014,90,404
1,3724606,08/01/2016,13741,5874,10765,29217,560,2636
2,5748276,08/01/2016,1545,1304,1130,1539,321,492
2,5854078,08/01/2016,417,593,1015,306,58,277
1,8596161,08/01/2016,13038,1149,2101,5259,109,675
2,8671114,08/01/2016,4295,639,3850,2564,187,591
1,1652144,08/01/2016,7440,1125,4036,1856,133,751
2,5530595,08/01/2016,7070,11310,14493,901,8069,860
1,1768151,08/01/2016,13393,1544,883,1104,142,1457
2,2129989,08/01/2016,3426,2938,31630,92,20956,535
1,4357489,08/01/2016,11944,418,1179,5548,276,1848
2,2597908,08/01/2016,11645,3272,5611,710,2467,791
1,6092144,08/01/2016,9779,1088,705,403,115,451
1,9057098,08/01/2016,3927,552,1619,5556,261,668
2,6029616,08/01/2016,2,117,4985,9985,5,385
1,9791263,08/01/2016,1387,808,2933,7284,309,1631
1,7021780,08/01/2016,309,1811,7639,221,3417,562
1,2160733,08/01/2016,1786,4265,4720,437,4026,971
1,8746100,08/01/2016,199,3570,4146,258,3492,1036
2,2149848,08/01/2016,878,3691,10000,946,10674,23
2,5687385,08/01/2016,2008,504,1111,1430,154,288
2,8444555,08/01/2016,779,1665,4001,289,2421,251
1,6774993,08/01/2016,2078,5065,7149,2181,5082,881
2,6343208,08/01/2016,10131,4885,10341,1966,3512,838
1,7034915,08/01/2016,1543,1476,1115,563,639,545
1,4485889,08/01/2016,2392,5710,10466,802,5132,369
2,3326242,08/01/2016,2782,681,1618,988,104,448
2,8680930,08/01/2016,992,6026,8026,940,8973,1506
1,4886018,08/01/2016,407,520,935,606,76,142